requirement_id,source_authority,scientific_question,expected_execution,expected_artifact,expected_evidence,expected_metric,expected_comparison,expected_analysis,expected_interpretation_role,present_in_execution,present_in_phase_analysis,analysis_depth,finalization_status
REQ-IN-01,P01 handoff,DatasetRecord,Build Book traceability row; gate G04; expected output validated DatasetRecord refs,Build Book traceability row; gate G04; expected output validated DatasetRecord refs,Build Book traceability row; gate G04; expected output validated DatasetRecord refs,as applicable,as applicable,§3 Data/Split/Evaluation context,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-IN-02,P01 handoff,WindowRecord,Build Book traceability row; gate G04; expected output validated WindowRecord refs,Build Book traceability row; gate G04; expected output validated WindowRecord refs,Build Book traceability row; gate G04; expected output validated WindowRecord refs,as applicable,as applicable,§3 Data/Split/Evaluation context,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-IN-03,P01 handoff,SplitRecord,Build Book traceability row; gate G04; expected output split validation,Build Book traceability row; gate G04; expected output split validation,Build Book traceability row; gate G04; expected output split validation,as applicable,as applicable,§3 Data/Split/Evaluation context,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-IN-04,P01 handoff,PreprocessingRecord,Build Book traceability row; gate G04; expected output preprocessing lineage,Build Book traceability row; gate G04; expected output preprocessing lineage,Build Book traceability row; gate G04; expected output preprocessing lineage,as applicable,as applicable,§3 Data/Split/Evaluation context,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-IN-05,P01 handoff,LabelMapRecord,Build Book traceability row; gate G04; expected output class-order binding,Build Book traceability row; gate G04; expected output class-order binding,Build Book traceability row; gate G04; expected output class-order binding,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-IN-06,P01 handoff,low-label budget profile,Build Book traceability row; gate G16; expected output LowCalibrationCurveRecord,Build Book traceability row; gate G16; expected output LowCalibrationCurveRecord,Build Book traceability row; gate G16; expected output LowCalibrationCurveRecord,as applicable,as applicable,§7 Low-Label/Budget,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-IN-07,P01 A4 R2,matched A4 substrate,Build Book traceability row; gate G18; expected output A4 matched control evidence,Build Book traceability row; gate G18; expected output A4 matched control evidence,Build Book traceability row; gate G18; expected output A4 matched control evidence,as applicable,governed matched/reference comparison,§10 A4; §11 Stage18S,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-EVAL-01,Method Selection + Protocol,test-set firewall,Build Book traceability row; gate G07; expected output leakage validation,Build Book traceability row; gate G07; expected output leakage validation,Build Book traceability row; gate G07; expected output leakage validation,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-EVAL-02,Method Selection + Protocol,hierarchical seed lineage,Build Book traceability row; gate G05; expected output seed lineage,Build Book traceability row; gate G05; expected output seed lineage,Build Book traceability row; gate G05; expected output seed lineage,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-EVAL-03,Method Selection + Protocol,bounded hyperparameter selection,Build Book traceability row; gate G05; expected output attempt ledger + selected checkpoint,Build Book traceability row; gate G05; expected output attempt ledger + selected checkpoint,Build Book traceability row; gate G05; expected output attempt ledger + selected checkpoint,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-EVAL-04,Method Selection + Protocol,checkpoint selection,Build Book traceability row; gate G13; expected output checkpoint manifest,Build Book traceability row; gate G13; expected output checkpoint manifest,Build Book traceability row; gate G13; expected output checkpoint manifest,as applicable,as applicable,§5.4 closure; §22 downstream substrate,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-EVAL-05,Protocol,metric dictionary,Build Book traceability row; gate G15; expected output BaselineMetricRecord/source tables,Build Book traceability row; gate G15; expected output BaselineMetricRecord/source tables,Build Book traceability row; gate G15; expected output BaselineMetricRecord/source tables,governed metric per Protocol,as applicable,§6.3 statistics; §8 secondary metrics; §10 statistics,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-EVAL-06,Protocol,statistical plan,Build Book traceability row; gate G05; expected output primitive paired/stat source tables,Build Book traceability row; gate G05; expected output primitive paired/stat source tables,Build Book traceability row; gate G05; expected output primitive paired/stat source tables,as applicable,as applicable,§6.3 statistics; §8 secondary metrics; §10 statistics,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-EVAL-07,Protocol,matched comparison,Build Book traceability row; gate G18; expected output MatchedComparison source/report,Build Book traceability row; gate G18; expected output MatchedComparison source/report,Build Book traceability row; gate G18; expected output MatchedComparison source/report,as applicable,governed matched/reference comparison,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-EVAL-08,Nuts-and-Bolts,score/class semantics,Build Book traceability row; gate G14; expected output PredictionRecord,Build Book traceability row; gate G14; expected output PredictionRecord,Build Book traceability row; gate G14; expected output PredictionRecord,as applicable,as applicable,§5.4 closure; §22 downstream substrate,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-PLAY-01,Phase Execution Playbook,14-step P02 execution,Build Book traceability row; gate G24; expected output stage ledger,Build Book traceability row; gate G24; expected output stage ledger,Build Book traceability row; gate G24; expected output stage ledger,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-NB-01,P02 master prompt,preflight and config freeze,Build Book traceability row; gate G07; expected output preflight gate pack,Build Book traceability row; gate G07; expected output preflight gate pack,Build Book traceability row; gate G07; expected output preflight gate pack,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-NB-02,P02 master prompt,A0 stage,Build Book traceability row; gate G15; expected output A0 evidence,Build Book traceability row; gate G15; expected output A0 evidence,Build Book traceability row; gate G15; expected output A0 evidence,as applicable,governed matched/reference comparison,§6 A0; §7 low-label; §9 models,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-NB-03,P02 master prompt,A4 stage,Build Book traceability row; gate G18; expected output A4 evidence,Build Book traceability row; gate G18; expected output A4 evidence,Build Book traceability row; gate G18; expected output A4 evidence,as applicable,governed matched/reference comparison,§10 A4; §11 Stage18S,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-NB-04,Governance + user ablation rule,fully-unlocked ablation same-notebook executor,Build Book traceability row; gate G18U; expected output additional ablation evidence/NOT_AUTHORIZED rows,Build Book traceability row; gate G18U; expected output additional ablation evidence/NOT_AUTHORIZED rows,Build Book traceability row; gate G18U; expected output additional ablation evidence/NOT_AUTHORIZED rows,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-NB-05,Execution/Evidence Plan,failure/negative accounting,Build Book traceability row; gate G19; expected output FailureCaseIndex + negative results,Build Book traceability row; gate G19; expected output FailureCaseIndex + negative results,Build Book traceability row; gate G19; expected output FailureCaseIndex + negative results,as applicable,as applicable,§12 Failures/negative/diagnostics,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-NB-06,Execution/Evidence Plan + Layer10 contract,figure/table source data,Build Book traceability row; gate G21; expected output figure/table source bundle,Build Book traceability row; gate G21; expected output figure/table source bundle,Build Book traceability row; gate G21; expected output figure/table source bundle,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-HAND-01,Playbook,Protocol v1 handoff,Build Book traceability row; gate G22; expected output Protocol handoff,Build Book traceability row; gate G22; expected output Protocol handoff,Build Book traceability row; gate G22; expected output Protocol handoff,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-HAND-02,Playbook,Phase Analysis handoff,Build Book traceability row; gate G22; expected output Analysis handoff,Build Book traceability row; gate G22; expected output Analysis handoff,Build Book traceability row; gate G22; expected output Analysis handoff,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-HAND-03,Playbook,Layer 0/Evidence Map handoff,Build Book traceability row; gate G22; expected output L0/EMap handoff,Build Book traceability row; gate G22; expected output L0/EMap handoff,Build Book traceability row; gate G22; expected output L0/EMap handoff,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-HAND-04,Playbook,P03 handoff,Build Book traceability row; gate G20; expected output Layer2ReadinessReport + P03 handoff,Build Book traceability row; gate G20; expected output Layer2ReadinessReport + P03 handoff,Build Book traceability row; gate G20; expected output Layer2ReadinessReport + P03 handoff,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-BUNDLE-01,Execution/Evidence Plan,final bundle integrity,Build Book traceability row; gate G24; expected output immutable P02 bundle,Build Book traceability row; gate G24; expected output immutable P02 bundle,Build Book traceability row; gate G24; expected output immutable P02 bundle,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-SEC-01,Governance/Nuts-and-Bolts,secret-safe export,Build Book traceability row; gate G24; expected output secret-scan report,Build Book traceability row; gate G24; expected output secret-scan report,Build Book traceability row; gate G24; expected output secret-scan report,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-PROTO-A-ID,Protocol v0.1 R42,Preserve exact official A0–A13 identities and A14 prohibition,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,governed matched/reference comparison,§6 A0; §7 low-label; §9 models,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-REG-RECORDS,Registry R44,Represent complete applicable L2 record-family vocabulary including NegativeResultNote and DiagnosticOnlyFlag,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§12 Failures/negative/diagnostics,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-P01-DATA,Prior Protocol P01,Carry exact inherited dataset versions/licenses/records/hashes,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§3 Data/Split/Evaluation context,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-P01-SPLIT,Prior Protocol P01,"Carry exact SplitRecord, subject/window denominators and leakage roles",Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§3 Data/Split/Evaluation context,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-P01-PREPROC,Prior Protocol P01,Carry exact PreprocessingRecord/semantic hash and transformation sequence,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§3 Data/Split/Evaluation context,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-P02-NB-ID,Execution evidence,Distinguish runtime source fingerprint from physical notebook SHA and document post-restart continuation semantics,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ST11-HIST,Stage11 primary evidence,Preserve mixed grandfathered primary recipe lineage and R7 challenger counts,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ST12-HIST,Stage12 primary evidence,Preserve post-observation forensic repair authority and exact branch terminal/config history,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-A4-DEV,Stage18 deviation,Distinguish lawful evidence-sufficient reduced scope from full Build Book replication,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ST18S,Stage18S freeze/handoff,"Label post-hoc sensitivity, preserve canonical Stage18/G18 and restricted claims",Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-HF-PREF,Stage24 replay,Freeze preferred full-workspace snapshot revision/manifest/per-object verification semantics,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-HF-ARCH,Stage24 chunked release,Freeze archival uploaded package paths/sizes/SHA/revisions,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-HF-DUAL,Owner handoff + project state,Support distinct symbolic pre-P02 and P02 credential classes without literals,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ANALYSIS-INPUTS,Protocol handoff/runtime,Freeze exact canonical analysis-input paths and claim locks,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-GATES,Gate results,Represent every canonical gate through closure and preserve successors,Primary source identified in audit report,Primary source identified in audit report,Primary source identified in audit report,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
